X-Axis,Y-Axis,Z-Axis
-0.549,-0.005,-0.832
-0.547,-0.004,-0.836
-0.549,-0.004,-0.838
-0.55,-0.004,-0.834
-0.549,-0.005,-0.835
-0.55,-0.005,-0.834
-0.548,-0.004,-0.834
-0.548,-0.004,-0.834
-0.547,-0.006,-0.835
-0.548,-0.005,-0.836
-0.548,-0.004,-0.835
-0.552,-0.004,-0.835
-0.549,-0.003,-0.834
-0.55,-0.004,-0.835
-0.549,-0.006,-0.834
-0.548,-0.005,-0.834
-0.549,-0.005,-0.834
-0.549,-0.005,-0.833
-0.55,-0.005,-0.832
-0.55,-0.004,-0.834
-0.548,-0.005,-0.834
-0.547,-0.004,-0.834
-0.547,-0.005,-0.834
-0.549,-0.005,-0.836
-0.549,-0.006,-0.837
-0.548,-0.005,-0.833
-0.55,-0.003,-0.833
-0.549,-0.003,-0.832
-0.548,-0.006,-0.833
-0.551,-0.006,-0.835
-0.55,-0.004,-0.832
-0.548,-0.005,-0.835
-0.546,-0.004,-0.833
-0.55,-0.003,-0.833
-0.548,-0.006,-0.833
-0.551,-0.005,-0.835
-0.549,-0.005,-0.832
-0.548,-0.004,-0.832
-0.549,-0.004,-0.833
-0.551,-0.004,-0.834
-0.549,-0.004,-0.833
-0.547,-0.004,-0.834
-0.549,-0.005,-0.833
-0.551,-0.004,-0.834
-0.55,-0.003,-0.836
-0.547,-0.005,-0.832
-0.549,-0.006,-0.833
-0.549,-0.004,-0.836
-0.55,-0.005,-0.834
-0.551,-0.003,-0.834
-0.55,-0.006,-0.832
-0.55,-0.005,-0.829
-0.551,-0.003,-0.832
-0.547,-0.006,-0.833
-0.549,-0.003,-0.833
-0.548,-0.005,-0.834
-0.548,-0.005,-0.834
-0.548,-0.005,-0.833
-0.551,-0.005,-0.837
-0.547,-0.006,-0.832
-0.554,-0.001,-0.832
-0.546,-0.004,-0.831
-0.549,-0.003,-0.831
-0.553,-0.004,-0.835
-0.55,-0.007,-0.833
-0.551,-0.005,-0.832
-0.549,-0.005,-0.829
-0.55,-0.006,-0.832
-0.547,-0.007,-0.833
-0.552,-0.007,-0.837
-0.55,-0.001,-0.839
-0.549,0.001,-0.838
-0.544,0,-0.827
-0.545,-0.007,-0.829
-0.549,-0.008,-0.837
-0.549,-0.009,-0.837
-0.55,-0.004,-0.836
-0.548,-0.002,-0.83
-0.55,-0.001,-0.832
-0.552,-0.002,-0.836
-0.549,-0.006,-0.834
-0.548,-0.007,-0.833
-0.551,-0.006,-0.831
-0.551,-0.005,-0.835
-0.55,-0.003,-0.834
-0.546,-0.004,-0.836
-0.544,-0.003,-0.836
-0.547,-0.002,-0.834
-0.55,-0.004,-0.836
-0.549,-0.004,-0.833
-0.548,-0.005,-0.831
-0.55,-0.004,-0.831
-0.553,-0.002,-0.828
-0.556,-0.008,-0.836
-0.545,-0.005,-0.83
-0.552,-0.005,-0.834
-0.55,-0.006,-0.83
-0.55,-0.004,-0.832
-0.55,-0.005,-0.831
-0.549,-0.003,-0.833
-0.546,-0.004,-0.831
-0.544,-0.01,-0.834
-0.548,-0.005,-0.833
-0.547,-0.002,-0.833
-0.551,0,-0.832
-0.547,-0.004,-0.832
-0.55,-0.003,-0.835
-0.55,-0.01,-0.832
-0.553,-0.01,-0.837
-0.547,-0.007,-0.831
-0.546,-0.002,-0.836
-0.548,-0.001,-0.832
-0.555,-0.001,-0.838
-0.548,-0.005,-0.835
-0.546,-0.008,-0.832
-0.548,-0.009,-0.832
-0.549,-0.007,-0.838
-0.551,-0.001,-0.838
-0.55,0.001,-0.838
-0.546,-0.001,-0.832
-0.543,-0.006,-0.832
-0.55,-0.008,-0.835
-0.551,-0.007,-0.839
-0.55,-0.005,-0.835
-0.546,-0.001,-0.831
-0.55,-0.002,-0.832
-0.55,-0.004,-0.839
-0.548,-0.008,-0.839
-0.549,-0.008,-0.835
-0.548,-0.005,-0.832
-0.55,-0.001,-0.833
-0.549,0,-0.835
-0.548,-0.005,-0.834
-0.547,-0.01,-0.834
-0.548,-0.007,-0.834
-0.549,-0.005,-0.838
-0.551,-0.001,-0.835
-0.547,-0.002,-0.832
-0.548,-0.004,-0.835
-0.549,-0.007,-0.836
-0.551,-0.007,-0.84
-0.55,-0.006,-0.835
-0.546,-0.006,-0.832
-0.549,-0.005,-0.835
-0.553,-0.002,-0.84
-0.549,-0.003,-0.838
-0.543,-0.005,-0.832
-0.548,-0.006,-0.832
-0.55,-0.003,-0.839
-0.548,-0.005,-0.834
-0.555,-0.003,-0.838
-0.543,-0.001,-0.83
-0.549,-0.009,-0.831
-0.549,-0.006,-0.834
-0.554,-0.004,-0.837
-0.545,-0.002,-0.836
-0.546,-0.002,-0.831
-0.547,-0.003,-0.832
-0.55,-0.003,-0.836
-0.551,-0.006,-0.836
-0.551,-0.007,-0.83
-0.55,-0.006,-0.832
-0.55,-0.003,-0.832
-0.551,-0.002,-0.835
-0.549,-0.002,-0.835
-0.551,-0.004,-0.834
-0.549,-0.005,-0.832
-0.551,-0.005,-0.835
-0.548,-0.005,-0.834
-0.549,-0.005,-0.835
-0.549,-0.004,-0.834
-0.55,-0.002,-0.835
-0.549,-0.005,-0.833
-0.549,-0.005,-0.833
-0.548,-0.006,-0.833
-0.55,-0.007,-0.832
-0.547,-0.003,-0.831
-0.551,-0.002,-0.833
-0.548,-0.004,-0.834
-0.549,-0.004,-0.835
-0.549,-0.005,-0.833
-0.549,-0.004,-0.832
-0.549,-0.003,-0.831
-0.548,-0.004,-0.833
-0.549,-0.006,-0.834
-0.549,-0.005,-0.834
-0.548,-0.003,-0.832
-0.548,-0.004,-0.83
-0.548,-0.004,-0.836
-0.55,-0.006,-0.833
-0.549,-0.005,-0.834
-0.548,-0.007,-0.832
-0.55,-0.004,-0.834
-0.549,-0.004,-0.833
-0.549,-0.003,-0.835
-0.547,-0.005,-0.835
-0.547,-0.005,-0.834
-0.55,-0.006,-0.834
-0.55,-0.005,-0.832
-0.552,-0.004,-0.833
-0.548,-0.005,-0.833
-0.548,-0.004,-0.833
